bibcode,astraatmadja_2016,bj_2015,bj_2018,bj_2021,bj_2023
2015A&A...584A..26B,0,1,0,0,0
2016A&A...595A...1G,0,1,0,0,0
2016A&A...595A..59M,0,1,0,0,0
2016AJ....152..180S,0,1,0,0,0
2016ApJ...832..137A,0,3,0,0,0
2016ApJ...832L..25H,0,1,0,0,0
2016ApJ...833..119A,1,1,0,0,0
2017A&A...598A..48G,0,1,0,0,0
2017A&A...598A..58H,2,0,0,0,0
2017A&A...598A.125R,0,2,0,0,0
2017A&A...599A..50A,0,1,0,0,0
2017A&A...601A.115P,0,1,0,0,0
2017A&A...602A..12R,0,1,0,0,0
2017A&A...602L..13A,2,0,0,0,0
2017A&A...604A..72Q,0,2,0,0,0
2017A&A...604A.107R,5,1,0,0,0
2017A&A...605A..69T,1,0,0,0,0
2017A&A...605A..79G,0,1,0,0,0
2017A&A...605A..86M,1,0,0,0,0
2017A&A...606A..94D,1,0,0,0,0
2017A&A...608A..57V,0,1,0,0,0
2017A&A...608L...1H,0,1,0,0,0
2017AJ....153...75K,1,1,0,0,0
2017AJ....153..119O,0,1,0,0,0
2017AJ....153..125S,7,1,0,0,0
2017AJ....153..136S,0,1,0,0,0
2017AJ....153..257O,0,1,0,0,0
2017AJ....154..217S,2,0,0,0,0
2017AJ....154..218N,0,1,0,0,0
2017AJ....154..222L,3,0,0,0,0
2017ApJ...835L..18L,3,0,0,0,0
2017ApJ...837....7G,0,1,0,0,0
2017ApJ...838..107S,3,3,0,0,0
2017ApJ...839...89W,1,0,0,0,0
2017ApJ...843L..12M,1,0,0,0,0
2017ApJ...844..102H,1,2,0,0,0
2017ApJ...844..166Z,0,1,0,0,0
2017ApJ...848...34H,1,0,0,0,0
2017AstL...43..472G,1,0,0,0,0
2017AstL...43..545G,2,1,0,0,0
2017IAUS..323..305M,1,0,0,0,0
2017JApA...38...40V,0,1,0,0,0
2017MNRAS.466..546M,0,1,0,0,0
2017MNRAS.467..412P,0,2,0,0,0
2017MNRAS.469..401S,0,1,0,0,0
2017MNRAS.469L..78M,4,0,0,0,0
2017MNRAS.470.1360B,1,2,0,0,0
2017MNRAS.470.1388M,2,1,0,0,0
