bibcode,citation_context_no,citation_context,target_reference,distance_used_score,comment_score
2025ApJ...994..133M,1,"6.3). Thus, it is likely that the upper limits in Table 5 may be quite generous for many of the systems. Meanwhile, Table 6 (second column) gives the Gaia-based (C. A. L. Bailer-Jones et al",bj_2021,0.6824232339859009,0.48284775018692017
2025ApJ...994..133M,2,"Fortunately, however, for the most compact Q+EBs -including those that remain unresolved with our speckle imaging - the Gaia parallaxes have low fractional er-rors and the solutions by and large have low RUWE. We provide these distances and distance errors, based on the C. A. L. Bailer-Jones et al. (2021) Gaia parallax-based, geometric distances, along with the associated Gaia DR3 RUWE values, in Table 5",bj_2021,0.7808293104171753,0.2968232333660126
2025ApJ...994..133M,3,2+1.1 -0.8 441794509 1.14 882+12 -11 43.9+0.6 -0.5 55.8+0.7 -0.7 · · · 454140642 1.30 356+3 -3 17.7+0.2 -0.1 22.5+0.2 -0.2 · · · 459959916 1.63 1028+16 -19 51.2+0.8 -0.9 65.1+1.0 -1.2 · · · Note-Distances in the third column are based on Gaia parallax geometric dis-tances sourced from C. A. L. Bailer-Jones et al. (2021). creased the dispersion,bj_2021,0.49839872121810913,0.14649657905101776
2025ApJ...994..133M,4,"3.6.2. TIC 266771301 Table 6 contains five Q+EBs where both speckle-resolved components have parallaxes provided by Gaia. In four of the cases, the C. A. L. Bailer-Jones et al. (2021) distances derived from these parallaxes are gen-erally in good agreement - only in the case of TIC 286470992 are the distances similar, but the 1-σ errors do not overlap",bj_2021,0.8329419493675232,0.5408521890640259
2025ApJ...994..133M,5,"Here we have focused on multi-filter speckle imaging on 4-m class telescopes of a sample of 57 systems, out of the 97 systems presented by V. B. Kos-tov et al. (2022). Of the 57 systems investigated here, we are able to resolve 34 (nearly 60%) into two distinct sources. Using C. A. L. Bailer-Jones et al. (2021) ge-ometric distances, we have calculated estimated linear separations between the resolved companions, and have placed upper limits on the linear size for the unresolved systems",bj_2021,0.8223113417625427,0.2353060394525528
2025ApJ...994..133M,6,"Among the former are several quadruple sys-tems apparently with a projected linear separation the size of the Solar system - TIC 97356407 (32 au), TIC 146810480 (35 au), TIC 328181241 (38 au), and TIC 399492452 (30 au). We note that the C. A. L. Bailer-Jones et al. (2021) distances for the two speckle-resolved components in TIC 266771301 are vastly different, which could mean that the system may be two unrelated EBs along the same line-of-sight, or it is a truly bound Q+EB resid-ing in either the ∼3 kpc or the ∼0.2 kpc source",bj_2021,0.6667391657829285,0.5353630781173706
2019MNRAS.483.2941W,1,"2018). We queried the Gaia archive for GD 394, find-ing a unique match with source ID 2166111956258599680 and parallax π = 19.85 ± 0.064 mas. The precision of the parallax measurement is sufficiently high that it can be di-rectly converted into a distance (Bailer-Jones et al. 2018), placing GD 394 at d = 50.37 ± 0.16 pc. MNRAS 000, 1-21 (2018) Multi-wavelength observations of GD 394 5 Table 1. Equivalent widths of the lines shown in Figure 1 across all eight HST visits",bj_2018,0.8294668793678284,0.45968911051750183
2020ApJ...895...89L,1,"3 keV for bbodyrad and Tin ≈0.5 keV (the inner disk tempera-ture) for diskbb. Comparing with the non-thermal X-ray component, they are very faint. We use the best-fit nor-malizations and the distance of d = 2.3 kpc estimated by Gaia (Bailer-Jones et al. 2018), which is consistent with the distance from modeling the light curve in S16. The best-fit blackbody emission region is Rbb ≈0.2 km in ra-dius, and the inner disk radius of the disk is Rin ≈0.1 km (cos i = 0.18 assumed; S16)",bj_2018,0.2853952646255493,0.14503715932369232
2021MNRAS.501.2688C,1,"The SN and Cepheids are rungs on the cosmic distance ladder, but not at the bottom, and so still need parallax measurements. So far, these annual parallax measurements are readily measurable out to ∼10 kpc (Brown et al. 2018; Lindegren et al. 2018; Bailer-Jones et al. 2018). To do better with space based observations new satellites have been proposed (e.g., Boehm et al. 2017). NGRST (see below) and Euclid (Sanderson et al. 2017; da Silva et al. 2019), which are more general telescopes will also have great astrometry potential",bj_2018,0.5839566588401794,0.3555440902709961
2020MNRAS.495.1209R,1,"2018). Our prior consisted of a H II region model, based on radio observations from Paladini et al. 2004 and Paladini et al. 2003. This was combined with a dust disk model from Rosslowe & Crowther (2015)",bj_2018,0.7979006171226501,0.44303497672080994
